"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"KZ000036880","ALATIY AMC, KZ","2025-01-01","26","28","24"
"KZ000036880","ALATIY AMC, KZ","2025-01-02","24","30","20"
"KZ000036880","ALATIY AMC, KZ","2025-01-03","21","29","11"
"KZ000036880","ALATIY AMC, KZ","2025-01-04","24","30","19"
"KZ000036880","ALATIY AMC, KZ","2025-01-05","27","31","23"
"KZ000036880","ALATIY AMC, KZ","2025-01-06","26","31","23"
"KZ000036880","ALATIY AMC, KZ","2025-01-07",,,
"KZ000036880","ALATIY AMC, KZ","2025-01-09",,,
"KZ000036880","ALATIY AMC, KZ","2025-01-10","16","28","7"
"KZ000036880","ALATIY AMC, KZ","2025-01-11","15","28","7"
"KZ000036880","ALATIY AMC, KZ","2025-01-12","15","24","8"
"KZ000036880","ALATIY AMC, KZ","2025-01-13","15","25","10"
"KZ000036880","ALATIY AMC, KZ","2025-01-14","17","26","9"
"KZ000036880","ALATIY AMC, KZ","2025-01-15","21","32","14"
"KZ000036880","ALATIY AMC, KZ","2025-01-16","25","35","19"
"KZ000036880","ALATIY AMC, KZ","2025-01-17","26","35","17"
"KZ000036880","ALATIY AMC, KZ","2025-01-18","27","33","22"
"KZ000036880","ALATIY AMC, KZ","2025-01-19","28","31","22"
"KZ000036880","ALATIY AMC, KZ","2025-01-20","27","31","24"
"KZ000036880","ALATIY AMC, KZ","2025-01-21","31","35","25"
"KZ000036880","ALATIY AMC, KZ","2025-01-22",,,
"KZ000036880","ALATIY AMC, KZ","2025-01-25","11","24","0"
"KZ000036880","ALATIY AMC, KZ","2025-01-26","13","24","4"
"KZ000036880","ALATIY AMC, KZ","2025-01-27","20","33","11"
"KZ000036880","ALATIY AMC, KZ","2025-01-28","22","29","15"
"KZ000036880","ALATIY AMC, KZ","2025-01-29","29","34","21"
"KZ000036880","ALATIY AMC, KZ","2025-01-31",,,
"KZ000036880","ALATIY AMC, KZ","2025-02-01","19","26","15"
"KZ000036880","ALATIY AMC, KZ","2025-02-02","14","23","6"
"KZ000036880","ALATIY AMC, KZ","2025-02-03","11","20","6"
"KZ000036880","ALATIY AMC, KZ","2025-02-04","13","24","6"
"KZ000036880","ALATIY AMC, KZ","2025-02-05","11","22","6"
"KZ000036880","ALATIY AMC, KZ","2025-02-06","17","30","7"
"KZ000036880","ALATIY AMC, KZ","2025-02-07",,,
"KZ000036880","ALATIY AMC, KZ","2025-02-08","19","28","13"
"KZ000036880","ALATIY AMC, KZ","2025-02-09",,,
"KZ000036880","ALATIY AMC, KZ","2025-02-10",,,
"KZ000036880","ALATIY AMC, KZ","2025-02-12",,,
"KZ000036880","ALATIY AMC, KZ","2025-02-14","23","28","19"
"KZ000036880","ALATIY AMC, KZ","2025-02-15","29","36","21"
"KZ000036880","ALATIY AMC, KZ","2025-02-16",,,
"KZ000036880","ALATIY AMC, KZ","2025-02-17","27","36","20"
"KZ000036880","ALATIY AMC, KZ","2025-02-18","23","27","19"
"KZ000036880","ALATIY AMC, KZ","2025-02-19","25","29","21"
"KZ000036880","ALATIY AMC, KZ","2025-02-20",,,
"KZ000036880","ALATIY AMC, KZ","2025-02-21","29","37","23"
"KZ000036880","ALATIY AMC, KZ","2025-02-22","30","42","24"
"KZ000036880","ALATIY AMC, KZ","2025-02-23","35","48","28"
"KZ000036880","ALATIY AMC, KZ","2025-02-24","38","47","31"
"KZ000036880","ALATIY AMC, KZ","2025-02-25","42","47","35"
"KZ000036880","ALATIY AMC, KZ","2025-02-28",,,
"KZ000036880","ALATIY AMC, KZ","2025-03-02","31","39","27"
"KZ000036880","ALATIY AMC, KZ","2025-03-03",,,
"KZ000036880","ALATIY AMC, KZ","2025-03-05","30","40","22"
"KZ000036880","ALATIY AMC, KZ","2025-03-06","38","47","30"
"KZ000036880","ALATIY AMC, KZ","2025-03-11","41","54","34"
"KZ000036880","ALATIY AMC, KZ","2025-03-14","43","55","37"
"KZ000036880","ALATIY AMC, KZ","2025-03-15","44","59","38"
"KZ000036880","ALATIY AMC, KZ","2025-03-17","47","62","35"
"KZ000036880","ALATIY AMC, KZ","2025-03-18","48","67","36"
"KZ000036880","ALATIY AMC, KZ","2025-03-19","51","70","40"
"KZ000036880","ALATIY AMC, KZ","2025-03-20","57","74","44"
"KZ000036880","ALATIY AMC, KZ","2025-03-21","60","78","48"
"KZ000036880","ALATIY AMC, KZ","2025-03-22","56","66","51"
"KZ000036880","ALATIY AMC, KZ","2025-03-23","56","73","46"
"KZ000036880","ALATIY AMC, KZ","2025-03-26","34","43","26"
"KZ000036880","ALATIY AMC, KZ","2025-03-29","42","48","38"
"KZ000036880","ALATIY AMC, KZ","2025-03-31","48","62","40"
"KZ000036880","ALATIY AMC, KZ","2025-04-01","53","63","45"
"KZ000036880","ALATIY AMC, KZ","2025-04-02","49","60","40"
"KZ000036880","ALATIY AMC, KZ","2025-04-03","54","69","42"
"KZ000036880","ALATIY AMC, KZ","2025-04-04","66","78","55"
"KZ000036880","ALATIY AMC, KZ","2025-04-06","58","67","53"
"KZ000036880","ALATIY AMC, KZ","2025-04-11","62","75","53"
"KZ000036880","ALATIY AMC, KZ","2025-04-12","63","78","51"
"KZ000036880","ALATIY AMC, KZ","2025-04-13","71","82","65"
"KZ000036880","ALATIY AMC, KZ","2025-04-17","55","62","50"
"KZ000036880","ALATIY AMC, KZ","2025-04-18","53","60","43"
"KZ000036880","ALATIY AMC, KZ","2025-04-19","47","52","45"
"KZ000036880","ALATIY AMC, KZ","2025-04-20","50","60","40"
"KZ000036880","ALATIY AMC, KZ","2025-04-21","53","61","46"
"KZ000036880","ALATIY AMC, KZ","2025-04-22","59","65","51"
"KZ000036880","ALATIY AMC, KZ","2025-04-24","58","67","48"
"KZ000036880","ALATIY AMC, KZ","2025-04-25","60","71","51"
"KZ000036880","ALATIY AMC, KZ","2025-04-27","70","82","59"
"KZ000036880","ALATIY AMC, KZ","2025-04-28","74","88","64"
"KZ000036880","ALATIY AMC, KZ","2025-04-29","76","91","62"
"KZ000036880","ALATIY AMC, KZ","2025-04-30","59","65","53"
"KZ000036880","ALATIY AMC, KZ","2025-05-04","68","81","60"
"KZ000036880","ALATIY AMC, KZ","2025-05-05","74","85","58"
"KZ000036880","ALATIY AMC, KZ","2025-05-06","67","80","55"
"KZ000036880","ALATIY AMC, KZ","2025-05-07","71","84","62"
"KZ000036880","ALATIY AMC, KZ","2025-05-08","78","92","73"
"KZ000036880","ALATIY AMC, KZ","2025-05-09","73","80","62"
"KZ000036880","ALATIY AMC, KZ","2025-05-13","72","83","62"
"KZ000036880","ALATIY AMC, KZ","2025-05-14","76","88","64"
"KZ000036880","ALATIY AMC, KZ","2025-05-15","78","92","63"
"KZ000036880","ALATIY AMC, KZ","2025-05-16","79","92","67"
"KZ000036880","ALATIY AMC, KZ","2025-05-17","87","99","82"
"KZ000036880","ALATIY AMC, KZ","2025-05-20","64","73","55"
"KZ000036880","ALATIY AMC, KZ","2025-05-21","70","83","58"
"KZ000036880","ALATIY AMC, KZ","2025-05-22","78","88","72"
"KZ000036880","ALATIY AMC, KZ","2025-05-25","73","82","69"
"KZ000036880","ALATIY AMC, KZ","2025-05-27","60","69","51"
"KZ000036880","ALATIY AMC, KZ","2025-05-28","63","71","55"
"KZ000036880","ALATIY AMC, KZ","2025-05-29","68","79","57"
"KZ000036880","ALATIY AMC, KZ","2025-05-30","66","75","58"
"KZ000036880","ALATIY AMC, KZ","2025-05-31","67","75","60"
"KZ000036880","ALATIY AMC, KZ","2025-06-01","67","72","59"
"KZ000036880","ALATIY AMC, KZ","2025-06-03","74","84","67"
"KZ000036880","ALATIY AMC, KZ","2025-06-04","76","87","64"
"KZ000036880","ALATIY AMC, KZ","2025-06-05","77","90","64"
"KZ000036880","ALATIY AMC, KZ","2025-06-06","81","94","71"
"KZ000036880","ALATIY AMC, KZ","2025-06-07","76","83","65"
"KZ000036880","ALATIY AMC, KZ","2025-06-09","80","88","75"
"KZ000036880","ALATIY AMC, KZ","2025-06-12","80","89","73"
"KZ000036880","ALATIY AMC, KZ","2025-06-13","73","81","63"
"KZ000036880","ALATIY AMC, KZ","2025-06-14","75","81","66"
"KZ000036880","ALATIY AMC, KZ","2025-06-15","80","91","74"
"KZ000036880","ALATIY AMC, KZ","2025-06-17","82","93","71"
"KZ000036880","ALATIY AMC, KZ","2025-06-18","83","96","69"
"KZ000036880","ALATIY AMC, KZ","2025-06-19","89","100","76"
"KZ000036880","ALATIY AMC, KZ","2025-06-24","81","94","70"
"KZ000036880","ALATIY AMC, KZ","2025-06-25","83","94","70"
"KZ000036880","ALATIY AMC, KZ","2025-06-27","74","84","61"
"KZ000036880","ALATIY AMC, KZ","2025-06-28","78","87","70"
"KZ000036880","ALATIY AMC, KZ","2025-06-29","83","94","67"
"KZ000036880","ALATIY AMC, KZ","2025-06-30","80","91","72"
"KZ000036880","ALATIY AMC, KZ","2025-07-01","80","91","67"
"KZ000036880","ALATIY AMC, KZ","2025-07-02","80","92","67"
"KZ000036880","ALATIY AMC, KZ","2025-07-03","81","93","68"
"KZ000036880","ALATIY AMC, KZ","2025-07-04","83","95","70"
"KZ000036880","ALATIY AMC, KZ","2025-07-05","92","116","72"
"KZ000036880","ALATIY AMC, KZ","2025-07-06","80","92","66"
"KZ000036880","ALATIY AMC, KZ","2025-07-07","76","81","70"
"KZ000036880","ALATIY AMC, KZ","2025-07-09","78","89","66"
"KZ000036880","ALATIY AMC, KZ","2025-07-12","74","86","64"
"KZ000036880","ALATIY AMC, KZ","2025-07-13","79","92","68"
"KZ000036880","ALATIY AMC, KZ","2025-07-14","86","95","77"
"KZ000036880","ALATIY AMC, KZ","2025-07-15","87","97","78"
"KZ000036880","ALATIY AMC, KZ","2025-07-16","83","94","72"
"KZ000036880","ALATIY AMC, KZ","2025-07-17","85","98","72"
"KZ000036880","ALATIY AMC, KZ","2025-07-18","88","98","78"
"KZ000036880","ALATIY AMC, KZ","2025-07-20","87","100","74"
"KZ000036880","ALATIY AMC, KZ","2025-07-21","80","93","68"
"KZ000036880","ALATIY AMC, KZ","2025-07-22","81","95","68"
"KZ000036880","ALATIY AMC, KZ","2025-07-23","81","94","72"
"KZ000036880","ALATIY AMC, KZ","2025-07-24","80","94","69"
"KZ000036880","ALATIY AMC, KZ","2025-07-25","85","97","76"
"KZ000036880","ALATIY AMC, KZ","2025-07-26","89","100","76"
"KZ000036880","ALATIY AMC, KZ","2025-07-30","81","88","73"
"KZ000036880","ALATIY AMC, KZ","2025-08-01","78","92","65"
"KZ000036880","ALATIY AMC, KZ","2025-08-06","73","85","62"
"KZ000036880","ALATIY AMC, KZ","2025-08-07","77","88","72"
"KZ000036880","ALATIY AMC, KZ","2025-08-08","80","92","66"
"KZ000036880","ALATIY AMC, KZ","2025-08-09","84","96","77"
"KZ000036880","ALATIY AMC, KZ","2025-08-10","83","95","70"
"KZ000036880","ALATIY AMC, KZ","2025-08-11","79","90","67"
"KZ000036880","ALATIY AMC, KZ","2025-08-12","86","101","70"
"KZ000036880","ALATIY AMC, KZ","2025-08-13","80","90","73"
"KZ000036880","ALATIY AMC, KZ","2025-08-14","81","89","75"
"KZ000036880","ALATIY AMC, KZ","2025-08-15","77","85","67"
"KZ000036880","ALATIY AMC, KZ","2025-08-20","77","87","69"
"KZ000036880","ALATIY AMC, KZ","2025-08-21","79","91","64"
"KZ000036880","ALATIY AMC, KZ","2025-08-22","79","92","70"
"KZ000036880","ALATIY AMC, KZ","2025-08-26","74","87","62"
"KZ000036880","ALATIY AMC, KZ","2025-08-27","73","88","61"
"KZ000036880","ALATIY AMC, KZ","2025-08-28","74","89","63"
"KZ000036880","ALATIY AMC, KZ","2025-08-29","79","93","65"
"KZ000036880","ALATIY AMC, KZ","2025-09-03","61","71","50"
"KZ000036880","ALATIY AMC, KZ","2025-09-04","64","78","52"
"KZ000036880","ALATIY AMC, KZ","2025-09-05","69","82","60"
"KZ000036880","ALATIY AMC, KZ","2025-09-06","77","91","64"
"KZ000036880","ALATIY AMC, KZ","2025-09-07","79","91","68"
"KZ000036880","ALATIY AMC, KZ","2025-09-12","68","82","63"
"KZ000036880","ALATIY AMC, KZ","2025-09-14","63","74","56"
"KZ000036880","ALATIY AMC, KZ","2025-09-20","58","71","46"
"KZ000036880","ALATIY AMC, KZ","2025-09-21","60","74","50"
"KZ000036880","ALATIY AMC, KZ","2025-09-22","69","83","62"
"KZ000036880","ALATIY AMC, KZ","2025-09-25","57","71","49"
"KZ000036880","ALATIY AMC, KZ","2025-09-26","65","78","55"
"KZ000036880","ALATIY AMC, KZ","2025-09-27","66","80","55"
"KZ000036880","ALATIY AMC, KZ","2025-09-28","67","81","59"
"KZ000036880","ALATIY AMC, KZ","2025-09-30","64","77","56"
"KZ000036880","ALATIY AMC, KZ","2025-10-04","52","65","45"
"KZ000036880","ALATIY AMC, KZ","2025-10-05","44","55","34"
"KZ000036880","ALATIY AMC, KZ","2025-10-06","42","53","36"
"KZ000036880","ALATIY AMC, KZ","2025-10-07","48","62","39"
"KZ000036880","ALATIY AMC, KZ","2025-10-08","48","60","39"
"KZ000036880","ALATIY AMC, KZ","2025-10-09","47","59","38"
"KZ000036880","ALATIY AMC, KZ","2025-10-10","47","60","37"
"KZ000036880","ALATIY AMC, KZ","2025-10-11","50","65","42"
"KZ000036880","ALATIY AMC, KZ","2025-10-12","58","65","47"
"KZ000036880","ALATIY AMC, KZ","2025-10-14","48","61","38"
"KZ000036880","ALATIY AMC, KZ","2025-10-15","37","49","28"
"KZ000036880","ALATIY AMC, KZ","2025-10-16","43","56","32"
"KZ000036880","ALATIY AMC, KZ","2025-10-17","53","66","44"
"KZ000036880","ALATIY AMC, KZ","2025-10-18","55","68","48"
"KZ000036880","ALATIY AMC, KZ","2025-10-20","51","64","42"
"KZ000036880","ALATIY AMC, KZ","2025-10-21","51","63","43"
"KZ000036880","ALATIY AMC, KZ","2025-10-22","54","66","47"
"KZ000036880","ALATIY AMC, KZ","2025-10-23","52","66","41"
"KZ000036880","ALATIY AMC, KZ","2025-10-24","56","70","46"
"KZ000036880","ALATIY AMC, KZ","2025-10-25","60","74","54"
"KZ000036880","ALATIY AMC, KZ","2025-10-28","54","63","48"
"KZ000036880","ALATIY AMC, KZ","2025-10-29","53","60","46"
"KZ000036880","ALATIY AMC, KZ","2025-10-30","49","61","42"
"KZ000036880","ALATIY AMC, KZ","2025-11-02","41","53","34"
"KZ000036880","ALATIY AMC, KZ","2025-11-03","51","61","45"
"KZ000036880","ALATIY AMC, KZ","2025-11-06","27","32","21"
"KZ000036880","ALATIY AMC, KZ","2025-11-09","39","54","31"
"KZ000036880","ALATIY AMC, KZ","2025-11-10","39","48","29"
"KZ000036880","ALATIY AMC, KZ","2025-11-11","38","52","30"
"KZ000036880","ALATIY AMC, KZ","2025-11-12","45","57","35"
"KZ000036880","ALATIY AMC, KZ","2025-11-13","43","53","33"
"KZ000036880","ALATIY AMC, KZ","2025-11-14","39","54","32"
"KZ000036880","ALATIY AMC, KZ","2025-11-15","33","38","30"
"KZ000036880","ALATIY AMC, KZ","2025-11-16","40","53","34"
"KZ000036880","ALATIY AMC, KZ","2025-11-17","43","58","32"
"KZ000036880","ALATIY AMC, KZ","2025-11-18","41","58","33"
"KZ000036880","ALATIY AMC, KZ","2025-11-19","48","62","39"
"KZ000036880","ALATIY AMC, KZ","2025-11-20","47","60","36"
"KZ000036880","ALATIY AMC, KZ","2025-11-21","44","60","36"
"KZ000036880","ALATIY AMC, KZ","2025-11-22","41","52","31"
"KZ000036880","ALATIY AMC, KZ","2025-11-24","39","53","31"
"KZ000036880","ALATIY AMC, KZ","2025-11-25","38","54","30"
"KZ000036880","ALATIY AMC, KZ","2025-11-26","41","60","29"
"KZ000036880","ALATIY AMC, KZ","2025-11-27","41","60","32"
"KZ000036880","ALATIY AMC, KZ","2025-11-28","37","54","28"
"KZ000036880","ALATIY AMC, KZ","2025-11-29","29","40","23"
"KZ000036880","ALATIY AMC, KZ","2025-11-30","32","48","24"
"KZ000036880","ALATIY AMC, KZ","2025-12-01","28","40","22"
"KZ000036880","ALATIY AMC, KZ","2025-12-03","32","44","21"
"KZ000036880","ALATIY AMC, KZ","2025-12-04","34","45","26"
"KZ000036880","ALATIY AMC, KZ","2025-12-05","35","47","30"
"KZ000036880","ALATIY AMC, KZ","2025-12-06","32","43","26"
"KZ000036880","ALATIY AMC, KZ","2025-12-07","31","35","24"
"KZ000036880","ALATIY AMC, KZ","2025-12-12",,,
"KZ000036880","ALATIY AMC, KZ","2025-12-13","36","41","33"
"KZ000036880","ALATIY AMC, KZ","2025-12-14","37","43","34"
"KZ000036880","ALATIY AMC, KZ","2025-12-16","28","35","24"
"KZ000036880","ALATIY AMC, KZ","2025-12-17",,,
"KZ000036880","ALATIY AMC, KZ","2025-12-23",,,
"KZ000036880","ALATIY AMC, KZ","2025-12-24","23","26","20"
"KZ000036880","ALATIY AMC, KZ","2025-12-25","26","33","18"
"KZ000036880","ALATIY AMC, KZ","2025-12-26",,,
"KZ000036880","ALATIY AMC, KZ","2025-12-28","29","31","27"
"KZ000036880","ALATIY AMC, KZ","2025-12-29",,,
"KZ000036880","ALATIY AMC, KZ","2025-12-30","37","49","29"
"KZ000036880","ALATIY AMC, KZ","2025-12-31",,,
